Phase,Subjects,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Baseline,1,1.171,1.35,0.352,1.69,0.811,0,0.704,1.057,0.241,0.91,0.958,0.761,1.069,0.874,0.263,0.289,0,0.605,1.388,0.569,1.02,1.118,1.237,0.75,0.604,1.373,1.15,0.91,0.75,0.875,1.106,0.242,1.362,0.532,1.312,0.254,1.213,0.703,1.336,nan,nan,nan,nan,nan,nan,nan,nan,nan
Baseline,2,nan,0.79,0.703,1.19,1.08,0.474,1.081,1.106,1.155,0,1.4,1.582,1.167,0.936,0,0.79,1.409,0,1.522,1.226,0.816,1.486,0,2.058,1.608,2.178,1.498,2.009,1.583,1.486,0.375,0.959,1.742,1.692,1.544,0,1.864,1.826,1.412,1.582,0.642,0.386,0.337,1.364,1.057,1.423,0.549,0.753
Baseline,3,1.374,1.461,0.802,0.607,1.274,1.081,1.519,1.315,1.641,1.144,1.081,1.521,1.39,1.753,0.851,1.399,0.91,0.218,1.194,0.778,0.596,1.739,0.34,0.791,0,1.887,0.511,0,0.448,0,0.486,2.131,1.925,0,3.14,1.62,0,0.828,1.681,2.078,0,0.997,0,0.607,0,0,0,0
Baseline,4,0.289,0,0,0,0,0.585,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0,0,0.268,0,0,0,0,0,0,0,0,0,0
Baseline,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,8,0,0,0,0.349,0.205,0.424,0,0,0,0.428,0,0,0,0,0,0,0,0,0,0,0.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0,0,0
Baseline,9,0.706,0,0,0,0,0,0,1.319,1.147,0,0,0,0,0.543,0,0,0,0,0,0,0.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.188,0,0,0,0,0,1.565,0
Baseline,10,0,0.271,0,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
