subject,phase,trial,group,scr,condition,raw,half,quarter
1,renewal,1,control,1.004987562,CS+,1.01,1,5
1,renewal,2,control,0.838450953,CS+,0.703,1,5
1,renewal,3,control,1.113103769,CS+,1.239,1,5
1,renewal,4,control,0.985393322,CS+,0.971,1,5
1,renewal,5,control,0,CS+,0,2,6
1,renewal,6,control,0.623698645,CS+,0.389,2,6
1,renewal,7,control,0.661059755,CS+,0.437,2,6
1,renewal,8,control,0.756967635,CS+,0.573,2,6
1,renewal,9,control,0,CS+,0,2,6
1,renewal,10,control,0.854400375,CS+,0.73,2,6
1,renewal,11,control,0,CS+,0,2,6
1,renewal,12,control,0,CS+,0,2,6
1,renewal,1,control,1.252996409,CS-,1.57,1,5
1,renewal,2,control,1.009950494,CS-,1.02,1,5
1,renewal,3,control,0.866025404,CS-,0.75,1,5
1,renewal,4,control,0.756306816,CS-,0.572,1,5
1,renewal,5,control,1.134460224,CS-,1.287,2,6
1,renewal,6,control,0,CS-,0,2,6
1,renewal,7,control,0,CS-,0,2,6
1,renewal,8,control,0,CS-,0,2,6
1,renewal,9,control,0,CS-,0,2,6
1,renewal,10,control,0.793725393,CS-,0.63,2,6
1,renewal,11,control,0,CS-,0,2,6
1,renewal,12,control,0,CS-,0,2,6
2,renewal,1,control,0.968504001,CS+,0.938,1,5
2,renewal,2,control,0.731436942,CS+,0.535,1,5
2,renewal,3,control,1.063954886,CS+,1.132,1,5
2,renewal,4,control,0.974679434,CS+,0.95,1,5
2,renewal,5,control,0.678232998,CS+,0.46,2,6
2,renewal,6,control,0,CS+,0,2,6
2,renewal,7,control,0.514781507,CS+,0.265,2,6
2,renewal,8,control,0.452769257,CS+,0.205,2,6
2,renewal,9,control,0,CS+,0,2,6
2,renewal,10,control,0.613188389,CS+,0.376,2,6
2,renewal,11,control,0.756967635,CS+,0.573,2,6
2,renewal,12,control,0,CS+,0,2,6
2,renewal,1,control,0.847348807,CS-,0.718,1,5
2,renewal,2,control,0,CS-,0,1,5
2,renewal,3,control,0.705691151,CS-,0.498,1,5
2,renewal,4,control,0,CS-,0,1,5
2,renewal,5,control,0.698569968,CS-,0.488,2,6
2,renewal,6,control,0,CS-,0,2,6
2,renewal,7,control,0,CS-,0,2,6
2,renewal,8,control,0,CS-,0,2,6
2,renewal,9,control,0,CS-,0,2,6
2,renewal,10,control,0,CS-,0,2,6
2,renewal,11,control,0.517687164,CS-,0.268,2,6
2,renewal,12,control,0,CS-,0,2,6
