subject,stimulus,source_memory,typicality,trial_type,encode_phase,recognition_memory,group,hc_acc
2,tools/beaker.jpg,2,4,CS-,acquisition,DO,healthy,1
2,animals/racoon.jpg,1,7,CS+,extinction,DO,healthy,1
2,tools/hairdryer.jpg,3,3,CS-,baseline,DO,healthy,1
2,animals/shark.jpg,2,6,CS+,acquisition,DO,healthy,1
2,animals/zebra.jpg,2,7,CS+,extinction,DO,healthy,1
2,animals/cow.jpg,2,6,CS+,baseline,DO,healthy,1
2,tools/scissors.jpg,1,4,CS-,baseline,DN,healthy,0
2,tools/blower.jpg,3,4,CS-,extinction,,healthy,0
2,animals/porcupine.jpg,2,5,CS+,baseline,DO,healthy,1
2,animals/flea.jpg,2,2,CS+,baseline,DO,healthy,1
2,animals/leopard.jpg,3,7,CS+,baseline,DO,healthy,1
2,animals/dragonfly.jpg,2,3,CS+,baseline,DO,healthy,1
2,tools/blackboard.jpg,1,3,CS-,acquisition,DO,healthy,1
2,tools/rake.jpg,1,2,CS-,baseline,MN,healthy,0
2,animals/camel.jpg,2,6,CS+,acquisition,DO,healthy,1
2,animals/mouse.jpg,2,7,CS+,acquisition,DO,healthy,1
2,animals/pigeon.jpg,2,6,CS+,baseline,DO,healthy,1
2,animals/rhino.jpg,2,7,CS+,extinction,DO,healthy,1
2,tools/chainsaw.jpg,1,6,CS-,extinction,DO,healthy,1
2,tools/airpump.jpg,1,2,CS-,extinction,DO,healthy,1
2,animals/ant.jpg,2,1,CS+,acquisition,DO,healthy,1
2,animals/firebug.jpg,2,2,CS+,acquisition,DO,healthy,1
2,tools/screwdriver.jpg,3,6,CS-,extinction,DO,healthy,1
2,tools/shoehorn.jpg,2,1,CS-,baseline,DO,healthy,1
2,animals/palmcockatoo.jpg,1,6,CS+,acquisition,MN,healthy,0
2,tools/spoon.jpg,1,7,CS-,acquisition,DN,healthy,0
2,tools/sander.jpg,2,1,CS-,acquisition,DO,healthy,1
2,animals/flamingo.jpg,2,6,CS+,extinction,DO,healthy,1
2,tools/transmissionwrench.jpg,3,4,CS-,baseline,DN,healthy,0
2,tools/wheelbarrow.jpg,3,4,CS-,baseline,DO,healthy,1
2,tools/squeegee.jpg,1,6,CS-,extinction,DN,healthy,0
2,animals/llama.jpg,3,7,CS+,extinction,DO,healthy,1
2,tools/pruner.jpg,1,6,CS-,acquisition,DN,healthy,0
2,animals/crow.jpg,2,6,CS+,baseline,DO,healthy,1
2,tools/fan.jpg,1,3,CS-,acquisition,DN,healthy,0
2,animals/baldeagle.jpg,1,7,CS+,acquisition,DN,healthy,0
2,animals/cricket.jpg,2,2,CS+,extinction,DO,healthy,1
2,tools/plow.jpg,3,2,CS-,baseline,DN,healthy,0
2,tools/bucket.jpg,1,5,CS-,extinction,DO,healthy,1
2,animals/goldfish.jpg,2,4,CS+,extinction,DO,healthy,1
2,animals/seal.jpg,2,6,CS+,acquisition,DO,healthy,1
2,tools/lawnmower.jpg,1,6,CS-,acquisition,DO,healthy,1
2,tools/vegetablepeeler.jpg,1,3,CS-,acquisition,MO,healthy,0
2,animals/mole.jpg,2,7,CS+,baseline,DO,healthy,1
2,tools/extensioncord.jpg,1,7,CS-,extinction,DO,healthy,1
2,animals/reindeer.jpg,2,2,CS+,extinction,DO,healthy,1
2,tools/monkeywrench.jpg,2,7,CS-,extinction,DO,healthy,1
2,tools/gong.jpg,1,6,CS-,baseline,DO,healthy,1
2,animals/pelican.jpg,2,2,CS+,baseline,DN,healthy,0
2,animals/prayingmantis.jpg,2,1,CS+,baseline,DO,healthy,1
2,animals/giraffe.jpg,2,7,CS+,baseline,DO,healthy,1
2,animals/herculesbeetle.jpg,2,1,CS+,baseline,DO,healthy,1
2,animals/baboon.jpg,1,3,CS+,baseline,DO,healthy,1
2,animals/boar.jpg,1,6,CS+,baseline,DO,healthy,1
2,animals/quail.jpg,3,5,CS+,baseline,DN,healthy,0
2,animals/hummingbird.jpg,2,6,CS+,baseline,DO,healthy,1
2,animals/dramaderry.jpg,2,5,CS+,acquisition,DO,healthy,1
2,animals/turkey.jpg,1,6,CS+,acquisition,DN,healthy,0
2,animals/anteater.jpg,2,3,CS+,acquisition,DO,healthy,1
2,animals/rabbit.jpg,2,7,CS+,acquisition,DO,healthy,1
2,animals/snail.jpg,2,4,CS+,acquisition,DO,healthy,1
2,animals/partridge.jpg,1,5,CS+,acquisition,MN,healthy,0
2,animals/mink.jpg,2,4,CS+,acquisition,DO,healthy,1
2,animals/catfish.jpg,3,7,CS+,acquisition,DN,healthy,0
2,animals/caterpillarhawkmoth.jpg,1,5,CS+,extinction,DO,healthy,1
2,animals/perch.jpg,3,6,CS+,extinction,DO,healthy,1
2,animals/skunk.jpg,2,6,CS+,extinction,DO,healthy,1
2,animals/marmot.jpg,3,6,CS+,extinction,DN,healthy,0
2,animals/finch.jpg,2,5,CS+,extinction,DO,healthy,1
2,animals/salmon.jpg,3,6,CS+,extinction,DO,healthy,1
2,animals/cranebug.jpg,2,1,CS+,extinction,DO,healthy,1
2,animals/canary.jpg,2,6,CS+,extinction,DO,healthy,1
2,tools/stove.jpg,1,5,CS-,baseline,DN,healthy,0
2,tools/reflexhammer.jpg,2,6,CS-,baseline,DO,healthy,1
2,tools/gardenhose.jpg,3,5,CS-,baseline,DO,healthy,1
2,tools/beadingtool.jpg,1,4,CS-,baseline,DO,healthy,1
2,tools/paintroller.jpg,3,6,CS-,baseline,DN,healthy,0
2,tools/ladder.jpg,2,6,CS-,baseline,DO,healthy,1
2,tools/plunger.jpg,3,6,CS-,baseline,DO,healthy,1
2,tools/drillbit.jpg,2,1,CS-,baseline,DO,healthy,1
2,tools/measuringdevice.jpg,2,5,CS-,acquisition,DN,healthy,0
2,tools/weedeater.jpg,2,6,CS-,acquisition,DO,healthy,1
2,tools/routerplane.jpg,3,6,CS-,acquisition,DO,healthy,1
2,tools/thermometer.jpg,3,6,CS-,acquisition,DN,healthy,0
2,tools/sparkplug.jpg,2,6,CS-,acquisition,DO,healthy,1
2,tools/broom.jpg,1,4,CS-,acquisition,DN,healthy,0
2,tools/wrench.jpg,1,6,CS-,acquisition,MN,healthy,0
2,tools/tubeflaring.jpg,1,2,CS-,acquisition,MN,healthy,0
2,tools/edger.jpg,2,4,CS-,extinction,DO,healthy,1
2,tools/paintbrush.jpg,3,7,CS-,extinction,DN,healthy,0
2,tools/measuringtape.jpg,3,7,CS-,extinction,DN,healthy,0
2,tools/jumpercables.jpg,1,3,CS-,extinction,DO,healthy,1
2,tools/videogamecontroller.jpg,2,7,CS-,extinction,DO,healthy,1
2,tools/padlock.jpg,2,5,CS-,extinction,DN,healthy,0
2,tools/carpetblower.jpg,1,6,CS-,extinction,MO,healthy,0
2,tools/microwave.jpg,3,6,CS-,extinction,DN,healthy,0
2,animals/pike.jpg,3,6,CS+,baseline,DO,healthy,1
2,animals/caterpillarpeacockmoth.jpg,2,4,CS+,baseline,DO,healthy,1
2,animals/waterbuffalo.jpg,1,4,CS+,baseline,DO,healthy,1
2,animals/snapper.jpg,2,2,CS+,baseline,DO,healthy,1
2,animals/ostrich.jpg,2,2,CS+,baseline,DO,healthy,1
2,animals/tiger.jpg,2,7,CS+,baseline,DO,healthy,1
2,animals/angelfish.jpg,3,7,CS+,baseline,DO,healthy,1
2,animals/gerbil.jpg,1,6,CS+,baseline,DO,healthy,1
2,animals/assassinbug.jpg,2,2,CS+,acquisition,DO,healthy,1
2,animals/chipmunk.jpg,1,2,CS+,acquisition,DO,healthy,1
2,animals/duck.jpg,1,4,CS+,acquisition,DN,healthy,0
2,animals/herring.jpg,2,5,CS+,acquisition,DO,healthy,1
2,animals/carp.jpg,2,5,CS+,acquisition,DO,healthy,1
2,animals/sheep.jpg,3,5,CS+,acquisition,DO,healthy,1
2,animals/mahimahi.jpg,1,6,CS+,acquisition,DO,healthy,1
2,animals/brown_bear.jpg,2,7,CS+,acquisition,DO,healthy,1
2,animals/starfish.jpg,2,6,CS+,extinction,DO,healthy,1
2,animals/halibut.jpg,2,6,CS+,extinction,DO,healthy,1
2,animals/elephantafrican.jpg,2,7,CS+,extinction,DO,healthy,1
2,animals/hyena.jpg,2,5,CS+,extinction,DO,healthy,1
2,animals/cat.jpg,3,7,CS+,extinction,DO,healthy,1
2,animals/aardvark.jpg,1,6,CS+,extinction,DO,healthy,1
2,animals/shrimp.jpg,3,2,CS+,extinction,DN,healthy,0
2,animals/horse.jpg,2,7,CS+,extinction,DO,healthy,1
2,tools/faxmachine.jpg,1,5,CS-,baseline,DO,healthy,1
2,tools/cheesegrater.jpg,2,7,CS-,baseline,DO,healthy,1
2,tools/electricbreaker.jpg,2,5,CS-,baseline,DO,healthy,1
2,tools/pliers.jpg,2,7,CS-,baseline,MN,healthy,0
2,tools/chisel.jpg,3,7,CS-,baseline,DO,healthy,1
2,tools/rollingpin.jpg,1,5,CS-,baseline,MN,healthy,0
2,tools/weldinghelmet.jpg,3,7,CS-,baseline,DO,healthy,1
2,tools/ropeandpulley.jpg,2,7,CS-,baseline,DO,healthy,1
2,tools/mallet.jpg,1,5,CS-,acquisition,DO,healthy,1
2,tools/ruler.jpg,3,7,CS-,acquisition,DN,healthy,0
2,tools/eraser.jpg,1,7,CS-,acquisition,MO,healthy,0
2,tools/woodchipper.jpg,3,2,CS-,acquisition,DN,healthy,0
2,tools/levelmount.jpg,1,1,CS-,acquisition,DO,healthy,1
2,tools/measuringcups.jpg,1,7,CS-,acquisition,,healthy,0
2,tools/viceclamp.jpg,2,4,CS-,acquisition,DN,healthy,0
2,tools/benchdogs.jpg,1,5,CS-,acquisition,MN,healthy,0
2,tools/solderingtorch.jpg,1,6,CS-,extinction,MO,healthy,0
2,tools/camera.jpg,3,6,CS-,extinction,DN,healthy,0
2,tools/treadmill.jpg,1,7,CS-,extinction,DN,healthy,0
2,tools/workbench.jpg,3,5,CS-,extinction,DO,healthy,1
2,tools/hammer.jpg,1,7,CS-,extinction,DO,healthy,1
2,tools/duffelbag.jpg,2,7,CS-,extinction,DO,healthy,1
