subject,stimulus,source_memory,typicality,trial_type,encode_phase,recognition_memory,trial_number,group,hc_acc
s2,tools/beaker.jpg,acquisition,4,CS-,acquisition,DO,24,healthy,1
s2,animals/racoon.jpg,baseline,7,CS+,extinction,DO,19,healthy,1
s2,tools/hairdryer.jpg,extinction,3,CS-,baseline,DO,3,healthy,1
s2,animals/shark.jpg,acquisition,6,CS+,acquisition,DO,23,healthy,1
s2,animals/zebra.jpg,acquisition,7,CS+,extinction,DO,9,healthy,1
s2,animals/cow.jpg,acquisition,6,CS+,baseline,DO,1,healthy,1
s2,tools/scissors.jpg,baseline,4,CS-,baseline,DN,5,healthy,0
s2,tools/blower.jpg,extinction,4,CS-,extinction,,21,healthy,0
s2,animals/porcupine.jpg,acquisition,5,CS+,baseline,DO,8,healthy,1
s2,animals/flea.jpg,acquisition,2,CS+,baseline,DO,22,healthy,1
s2,animals/leopard.jpg,extinction,7,CS+,baseline,DO,10,healthy,1
s2,animals/dragonfly.jpg,acquisition,3,CS+,baseline,DO,23,healthy,1
s2,tools/blackboard.jpg,baseline,3,CS-,acquisition,DO,11,healthy,1
s2,tools/rake.jpg,baseline,2,CS-,baseline,MN,2,healthy,0
s2,animals/camel.jpg,acquisition,6,CS+,acquisition,DO,2,healthy,1
s2,animals/mouse.jpg,acquisition,7,CS+,acquisition,DO,24,healthy,1
s2,animals/pigeon.jpg,acquisition,6,CS+,baseline,DO,21,healthy,1
s2,animals/rhino.jpg,acquisition,7,CS+,extinction,DO,17,healthy,1
s2,tools/chainsaw.jpg,baseline,6,CS-,extinction,DO,23,healthy,1
s2,tools/airpump.jpg,baseline,2,CS-,extinction,DO,11,healthy,1
s2,animals/ant.jpg,acquisition,1,CS+,acquisition,DO,6,healthy,1
s2,animals/firebug.jpg,acquisition,2,CS+,acquisition,DO,17,healthy,1
s2,tools/screwdriver.jpg,extinction,6,CS-,extinction,DO,7,healthy,1
s2,tools/shoehorn.jpg,acquisition,1,CS-,baseline,DO,9,healthy,1
s2,animals/palmcockatoo.jpg,baseline,6,CS+,acquisition,MN,14,healthy,0
s2,tools/spoon.jpg,baseline,7,CS-,acquisition,DN,1,healthy,0
s2,tools/sander.jpg,acquisition,1,CS-,acquisition,DO,4,healthy,1
s2,animals/flamingo.jpg,acquisition,6,CS+,extinction,DO,12,healthy,1
s2,tools/transmissionwrench.jpg,extinction,4,CS-,baseline,DN,12,healthy,0
s2,tools/wheelbarrow.jpg,extinction,4,CS-,baseline,DO,17,healthy,1
s2,tools/squeegee.jpg,baseline,6,CS-,extinction,DN,6,healthy,0
s2,animals/llama.jpg,extinction,7,CS+,extinction,DO,1,healthy,1
s2,tools/pruner.jpg,baseline,6,CS-,acquisition,DN,8,healthy,0
s2,animals/crow.jpg,acquisition,6,CS+,baseline,DO,4,healthy,1
s2,tools/fan.jpg,baseline,3,CS-,acquisition,DN,3,healthy,0
s2,animals/baldeagle.jpg,baseline,7,CS+,acquisition,DN,22,healthy,0
