,subject,encode_phase,condition,hit_rate,false_alarm_rate,corrected_recognition
1,1,acquisition,CS+,0.6666666666666666,0.14583333333333334,0.5208333333333333
4,1,acquisition,CS-,0.125,0.02083333333333333,0.10416666666666667
0,1,baseline,CS+,0.5416666666666666,0.14583333333333334,0.3958333333333333
3,1,baseline,CS-,0.25,0.02083333333333333,0.22916666666666666
2,1,extinction,CS+,0.25,0.14583333333333334,0.10416666666666666
5,1,extinction,CS-,0.20833333333333331,0.02083333333333333,0.1875
7,2,acquisition,CS+,0.75,0.4166666666666667,0.3333333333333333
10,2,acquisition,CS-,0.375,0.2916666666666667,0.08333333333333331
6,2,baseline,CS+,0.9166666666666666,0.4166666666666667,0.5
9,2,baseline,CS-,0.6666666666666666,0.2916666666666667,0.375
8,2,extinction,CS+,0.9166666666666666,0.4166666666666667,0.5
11,2,extinction,CS-,0.5,0.2916666666666667,0.2083333333333333
13,3,acquisition,CS+,0.25,0.0625,0.1875
16,3,acquisition,CS-,0.04166666666666666,0.04166666666666666,0.0
12,3,baseline,CS+,0.375,0.0625,0.3125
15,3,baseline,CS-,0.3333333333333333,0.04166666666666666,0.29166666666666663
14,3,extinction,CS+,0.375,0.0625,0.3125
17,3,extinction,CS-,0.16666666666666666,0.04166666666666666,0.125
19,4,acquisition,CS+,0.4166666666666667,0.08333333333333333,0.33333333333333337
22,4,acquisition,CS-,0.625,0.125,0.5
18,4,baseline,CS+,0.625,0.08333333333333333,0.5416666666666666
21,4,baseline,CS-,0.625,0.125,0.5
20,4,extinction,CS+,0.625,0.08333333333333333,0.5416666666666666
23,4,extinction,CS-,0.3333333333333333,0.125,0.2083333333333333
25,5,acquisition,CS+,0.9166666666666666,0.4166666666666667,0.5
28,5,acquisition,CS-,0.7083333333333334,0.2708333333333333,0.4375000000000001
24,5,baseline,CS+,0.9583333333333334,0.4166666666666667,0.5416666666666667
27,5,baseline,CS-,0.7916666666666666,0.2708333333333333,0.5208333333333333
26,5,extinction,CS+,0.7916666666666666,0.4166666666666667,0.375
29,5,extinction,CS-,0.8333333333333334,0.2708333333333333,0.5625
31,6,acquisition,CS+,0.7916666666666666,0.0625,0.7291666666666666
34,6,acquisition,CS-,0.08333333333333333,0.02083333333333333,0.0625
30,6,baseline,CS+,0.3333333333333333,0.0625,0.2708333333333333
33,6,baseline,CS-,0.16666666666666666,0.02083333333333333,0.14583333333333331
32,6,extinction,CS+,0.5833333333333334,0.0625,0.5208333333333334
35,6,extinction,CS-,0.08333333333333333,0.02083333333333333,0.0625
37,7,acquisition,CS+,0.4166666666666667,0.04166666666666666,0.375
40,7,acquisition,CS-,0.4166666666666667,0.0,0.4166666666666667
36,7,baseline,CS+,0.2916666666666667,0.04166666666666666,0.25
39,7,baseline,CS-,0.16666666666666666,0.0,0.16666666666666666
38,7,extinction,CS+,0.3333333333333333,0.04166666666666666,0.29166666666666663
41,7,extinction,CS-,0.125,0.0,0.125
