condition,gc,group,half,phase,quarter,scr,subject
CS+,control_CS+,control,1,fear_conditioning,1,0.5891116710000001,1
CS-,control_CS-,control,1,fear_conditioning,1,0.8511030380833334,1
CS+,control_CS+,control,1,fear_conditioning,1,0.9808333195,2
CS-,control_CS-,control,1,fear_conditioning,1,0.43569530733333334,2
CS+,control_CS+,control,1,fear_conditioning,1,0.9552972705,3
CS-,control_CS-,control,1,fear_conditioning,1,0.43682413075,3
CS+,control_CS+,control,1,fear_conditioning,1,0.14710162783333333,4
CS-,control_CS-,control,1,fear_conditioning,1,0.14654903333333333,4
CS+,control_CS+,control,1,fear_conditioning,1,0.6382471681666667,5
CS-,control_CS-,control,1,fear_conditioning,1,0.46172803666666673,5
CS+,control_CS+,control,1,fear_conditioning,1,0.0,6
CS-,control_CS-,control,1,fear_conditioning,1,0.0,6
CS+,control_CS+,control,1,fear_conditioning,1,0.0,7
CS-,control_CS-,control,1,fear_conditioning,1,0.0,7
CS+,control_CS+,control,1,fear_conditioning,1,0.18648420233333338,8
CS-,control_CS-,control,1,fear_conditioning,1,0.10810568525000001,8
CS+,control_CS+,control,1,fear_conditioning,1,0.5937522928333333,9
CS-,control_CS-,control,1,fear_conditioning,1,0.3951197689166666,9
CS+,control_CS+,control,1,fear_conditioning,1,0.3298335961666667,10
CS-,control_CS-,control,1,fear_conditioning,1,0.087304196,10
CS+,control_CS+,control,1,fear_conditioning,1,0.3616914363333334,12
CS-,control_CS-,control,1,fear_conditioning,1,0.0,12
CS+,control_CS+,control,1,fear_conditioning,1,0.9277647593333335,13
CS-,control_CS-,control,1,fear_conditioning,1,0.8744196312499999,13
CS+,control_CS+,control,1,fear_conditioning,1,0.29827177016666667,14
CS-,control_CS-,control,1,fear_conditioning,1,0.09170453766666668,14
CS+,control_CS+,control,1,fear_conditioning,1,0.19292972083333335,15
CS-,control_CS-,control,1,fear_conditioning,1,0.05451809075,15
CS+,control_CS+,control,1,fear_conditioning,1,0.4367597796666667,16
CS-,control_CS-,control,1,fear_conditioning,1,0.12706301016666668,16
CS+,control_CS+,control,1,fear_conditioning,1,0.465236723,17
