stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory
animals/halibut.jpg	1	7	CS+	baseline	MN
animals/ant.jpg	2	5	CS+	extinction	MN
animals/marmot.jpg	1	6	CS+	baseline	DO
animals/herring.jpg	2	6	CS+	extinction	DO
tools/workbench.jpg	1	1	CS-	baseline	MN
animals/mouse.jpg	1	6	CS+	extinction	DO
tools/blackboard.jpg	2	3	CS-	extinction	DO
tools/hairdryer.jpg	3	4	CS-	acquisition	DO
animals/perch.jpg	3	3	CS+	baseline	DN
animals/herculesbeetle.jpg	2	4	CS+	acquisition	DO
tools/sander.jpg	1	1	CS-	extinction	MN
tools/hammer.jpg	3	5	CS-	baseline	DO
animals/waterbuffalo.jpg	1	4	CS+	acquisition	DN
animals/porcupine.jpg	1	3	CS+	acquisition	DN
tools/reflexhammer.jpg	3	1	CS-	acquisition	DN
tools/ruler.jpg	3	4	CS-	extinction	DO
tools/electricbreaker.jpg	1	5	CS-	acquisition	DO
tools/ropeandpulley.jpg	1	4	CS-	acquisition	DO
tools/measuringtape.jpg	3	5	CS-	baseline	DO
animals/gerbil.jpg	1	6	CS+	acquisition	DO
animals/hyena.jpg	3	1	CS+	baseline	DN
tools/sparkplug.jpg	2	2	CS-	extinction	DO
animals/prayingmantis.jpg	1	6	CS+	acquisition	DO
animals/carp.jpg	1	7	CS+	extinction	DO
tools/drillbit.jpg	2	4	CS-	acquisition	DO
tools/rollingpin.jpg	3	2	CS-	acquisition	DO
tools/lawnmower.jpg	3	1	CS-	extinction	DO
tools/treadmill.jpg	3	1	CS-	baseline	DO
tools/squeegee.jpg	1	6	CS-	baseline	DO
tools/edger.jpg	1	6	CS-	baseline	DO
animals/camel.jpg	3	4	CS+	extinction	MN
tools/plunger.jpg	1	4	CS-	acquisition	DO
animals/rabbit.jpg	1	7	CS+	extinction	DO
animals/cat.jpg	2	7	CS+	baseline	DO
animals/elephantafrican.jpg	2	7	CS+	baseline	MO
tools/paintroller.jpg	1	3	CS-	acquisition	DO
animals/cricket.jpg	1	5	CS+	baseline	DO
animals/mink.jpg	3	2	CS+	extinction	DO
tools/microwave.jpg	3	2	CS-	baseline	DO
tools/mallet.jpg	1	4	CS-	extinction	DO
tools/beaker.jpg	2	3	CS-	extinction	DN
animals/dragonfly.jpg	3	5	CS+	acquisition	DO
animals/llama.jpg	3	3	CS+	baseline	DO
animals/tiger.jpg	2	6	CS+	acquisition	DO
tools/jumpercables.jpg	2	4	CS-	baseline	DO
animals/firebug.jpg	3	4	CS+	extinction	DO
animals/giraffe.jpg	3	5	CS+	acquisition	DO
tools/thermometer.jpg	1	4	CS-	extinction	DO
animals/baboon.jpg	1	6	CS+	acquisition	DO
animals/ostrich.jpg	2	4	CS+	acquisition	DO
animals/hummingbird.jpg	3	3	CS+	acquisition	MN
animals/pelican.jpg	2	4	CS+	acquisition	MN
animals/leopard.jpg	2	5	CS+	acquisition	DO
animals/mole.jpg	1	1	CS+	acquisition	DO
animals/flea.jpg	3	1	CS+	acquisition	MO
animals/crow.jpg	1	7	CS+	acquisition	DO
animals/palmcockatoo.jpg	3	3	CS+	extinction	DO
animals/turkey.jpg	3	1	CS+	extinction	MN
animals/brown_bear.jpg	3	7	CS+	extinction	DO
animals/anteater.jpg	3	1	CS+	extinction	DO
animals/sheep.jpg	2	5	CS+	extinction	MO
animals/baldeagle.jpg	1	7	CS+	extinction	DO
animals/chipmunk.jpg	2	5	CS+	extinction	DO
animals/seal.jpg	3	3	CS+	extinction	DO
animals/salmon.jpg	3	4	CS+	baseline	DO
animals/goldfish.jpg	1	5	CS+	baseline	DO
animals/shrimp.jpg	1	4	CS+	baseline	DO
animals/canary.jpg	1	7	CS+	baseline	DO
animals/starfish.jpg	1	2	CS+	baseline	DO
animals/aardvark.jpg	3	1	CS+	baseline	DO
animals/skunk.jpg	3	4	CS+	baseline	MO
