onset	duration	trial_type	stimulus	response
8.017000000000001	4.0	CS+	stims2/tools/computermouse.jpg	1
17.067	5.0	CS-	stims2/animals/bluejay.jpg	1
27.116999999999997	5.0	CS+	stims2/tools/handdrill.jpg	1
39.167	4.0	CS+	stims2/tools/trowel.jpg	2
50.217	5.0	CS-	stims2/animals/hippo.jpg	2
60.266999999999996	4.5	CS-	stims2/animals/dolphin.jpg	2
70.817	5.0	CS+	stims2/tools/ducttape.jpg	2
81.867	4.0	CS-	stims2/animals/chicken.jpg	2
91.917	4.5	CS-	stims2/animals/moth.jpg	2
103.45	4.5	CS+	stims2/tools/saw.jpg	2
115.0	5.0	CS+	stims2/tools/coathanger.jpg	2
126.05	5.0	CS-	stims2/animals/rosechafer.jpg	2
136.1	4.5	CS+	stims2/tools/generator.jpg	2
145.65	4.0	CS-	stims2/animals/sparrow.jpg	2
154.7	4.0	CS+	stims2/tools/loom.jpg	2
164.75	4.0	CS-	stims2/animals/springhare.jpg	2
175.8	4.5	CS-	stims2/animals/peacock.jpg	2
186.35	4.5	CS+	stims2/tools/drill.jpg	2
196.88400000000001	5.0	CS-	stims2/animals/dog.jpg	2
208.917	4.0	CS+	stims2/tools/hoe.jpg	2
217.967	4.5	CS-	stims2/animals/koi.jpg	2
229.517	4.5	CS+	stims2/tools/glove.jpg	2
239.05	5.0	CS+	stims2/tools/circularsaw.jpg	2
250.1	4.0	CS-	stims2/animals/donkey.jpg	2
