stimulus	source_memory	typicality	trial_type	encode_phase	recognition_memory	trial_number
animals/crow.jpg	2	7	CS+	acquisition	MO	10
tools/screwdriver.jpg	2	7	CS-	baseline	MO	6
tools/camera.jpg	1	1	CS-	baseline	MO	12
animals/salmon.jpg	2	7	CS+	baseline	MO	16
animals/palmcockatoo.jpg	2	4	CS+	extinction	MO	12
tools/hairdryer.jpg	1	7	CS-	acquisition	MN	10
tools/woodchipper.jpg	1	1	CS-	extinction	MO	21
tools/wheelbarrow.jpg	2	7	CS-	acquisition	MO	15
tools/blackboard.jpg	3	4	CS-	extinction	MO	13
animals/seal.jpg	2	6	CS+	extinction	DO	7
animals/catfish.jpg	3	2	CS+	extinction	MO	2
tools/reflexhammer.jpg	1	4	CS-	acquisition	MN	4
tools/levelmount.jpg	3	4	CS-	extinction	MN	10
tools/toaster.jpg	2	5	CS-	baseline	MO	19
animals/sheep.jpg	2	6	CS+	extinction	MO	14
animals/zebra.jpg	2	7	CS+	baseline	MO	7
animals/cat.jpg	2	7	CS+	baseline	MO	22
tools/squeegee.jpg	3	3	CS-	baseline	MO	2
tools/eraser.jpg	3	3	CS-	extinction	MN	11
animals/cranebug.jpg	2	5	CS+	baseline	MO	14
animals/horse.jpg	2	7	CS+	baseline	MO	23
animals/giraffe.jpg	2	7	CS+	acquisition	MO	4
tools/ruler.jpg	2	7	CS-	extinction	DO	24
tools/weldinghelmet.jpg	3	4	CS-	acquisition	MN	19
animals/mole.jpg	2	7	CS+	acquisition	MO	2
animals/racoon.jpg	2	7	CS+	baseline	MO	18
tools/thermometer.jpg	2	4	CS-	extinction	MN	14
animals/finch.jpg	2	6	CS+	baseline	MO	10
tools/weedeater.jpg	1	5	CS-	extinction	MO	16
animals/duck.jpg	2	6	CS+	extinction	MN	22
tools/ropeandpulley.jpg	2	7	CS-	acquisition	DO	11
animals/leopard.jpg	2	5	CS+	acquisition	MO	1
animals/pigeon.jpg	2	7	CS+	acquisition	DO	9
animals/herring.jpg	2	5	CS+	extinction	MO	10
tools/duffelbag.jpg	2	6	CS-	baseline	DO	23
tools/pliers.jpg	1	4	CS-	acquisition	MO	8
animals/angelfish.jpg	2	5	CS+	acquisition	MO	17
tools/sander.jpg	3	3	CS-	extinction	MN	8
tools/plunger.jpg	1	7	CS-	acquisition	MO	24
tools/airpump.jpg	3	4	CS-	baseline	MO	1
animals/baboon.jpg	2	7	CS+	acquisition	MO	22
tools/drillbit.jpg	1	1	CS-	acquisition	DN	17
animals/baldeagle.jpg	2	7	CS+	extinction	MN	18
animals/brown_bear.jpg	2	7	CS+	extinction	MO	24
animals/hummingbird.jpg	2	7	CS+	acquisition	DO	6
animals/halibut.jpg	3	5	CS+	baseline	MO	19
tools/bucket.jpg	3	4	CS-	baseline	MN	11
tools/paintbrush.jpg	3	4	CS-	baseline	MO	24
animals/quail.jpg	2	4	CS+	acquisition	MO	5
animals/gerbil.jpg	2	7	CS+	acquisition	MO	16
animals/porcupine.jpg	2	7	CS+	acquisition	DO	12
animals/waterbuffalo.jpg	2	6	CS+	acquisition	MO	8
animals/herculesbeetle.jpg	1	4	CS+	acquisition	MO	20
animals/cow.jpg	2	5	CS+	acquisition	MO	18
animals/prayingmantis.jpg	3	5	CS+	acquisition	MO	14
animals/snapper.jpg	3	5	CS+	acquisition	MO	24
animals/rabbit.jpg	3	4	CS+	extinction	MO	15
animals/anteater.jpg	2	5	CS+	extinction	MO	9
animals/camel.jpg	2	5	CS+	extinction	MO	13
animals/carp.jpg	3	5	CS+	extinction	MO	3
animals/turkey.jpg	2	5	CS+	extinction	MN	5
