subject,feature,beta,phase
2,condition,0.8613860608391276,baseline
3,condition,0.23556923066258154,baseline
4,condition,-0.09941193828930214,baseline
5,condition,0.6795296761541363,baseline
6,condition,0.41025804904756413,baseline
7,condition,0.536550178946991,baseline
8,condition,0.263503567470148,baseline
9,condition,-0.7940828119670126,baseline
10,condition,-0.11065708077089947,baseline
12,condition,0.24816132025994475,baseline
13,condition,0.5143551479941653,baseline
14,condition,0.15508467581826796,baseline
15,condition,0.17972900622839233,baseline
16,condition,0.5462946890325251,baseline
17,condition,0.21602467828521177,baseline
19,condition,-0.3827769681179252,baseline
21,condition,-0.2979705504173688,baseline
101,condition,1.0475166286819515,baseline
102,condition,0.27903860335746916,baseline
103,condition,0.06851573919268655,baseline
104,condition,0.544672250200945,baseline
105,condition,0.7040435854850757,baseline
106,condition,0.33357518589358665,baseline
107,condition,-0.8013875747715545,baseline
108,condition,0.44328371112177317,baseline
109,condition,0.6499300897029099,baseline
110,condition,0.7654447724628853,baseline
111,condition,0.6928706317990961,baseline
112,condition,0.10564630028481878,baseline
113,condition,0.09935421537472705,baseline
114,condition,0.42621616433422344,baseline
116,condition,-0.01571957914277029,baseline
117,condition,-0.6249949691363219,baseline
118,condition,0.8424023903697938,baseline
2,typicality,0.4027972964021883,baseline
3,typicality,0.010432900664888917,baseline
4,typicality,-0.37675600783064156,baseline
5,typicality,0.14989816583866214,baseline
6,typicality,0.881332233031356,baseline
7,typicality,0.22085973650657206,baseline
8,typicality,-0.28575667008499556,baseline
9,typicality,0.03351184648392629,baseline
10,typicality,0.24926105008147334,baseline
12,typicality,0.3621628008139896,baseline
13,typicality,-0.3104070946968861,baseline
14,typicality,0.26970855728644016,baseline
15,typicality,0.1771729932710762,baseline
16,typicality,-0.2994432124597369,baseline
17,typicality,0.40532044702517034,baseline
19,typicality,0.4177883468184748,baseline
21,typicality,0.3035328475081897,baseline
101,typicality,0.2958051120254014,baseline
102,typicality,-0.19134222881055263,baseline
103,typicality,0.2643248573179776,baseline
104,typicality,0.04317374956672721,baseline
105,typicality,0.13128839373063866,baseline
106,typicality,0.1418130200135216,baseline
107,typicality,0.9494225769271628,baseline
108,typicality,-0.2606050824106585,baseline
109,typicality,0.5763532733113106,baseline
110,typicality,0.507208114681615,baseline
111,typicality,-0.49148168709143486,baseline
112,typicality,0.1049258591998524,baseline
113,typicality,0.09560574595449661,baseline
114,typicality,0.27618624496925687,baseline
116,typicality,0.0704855926104291,baseline
117,typicality,-0.1654226052396642,baseline
118,typicality,0.5732225262095211,baseline
2,acq_resp,0.9157579171256577,baseline
3,acq_resp,1.1448353404866989,baseline
4,acq_resp,-0.8070303593635956,baseline
5,acq_resp,1.3088864057268437,baseline
6,acq_resp,1.1888567189855836,baseline
7,acq_resp,0.42575080820404504,baseline
8,acq_resp,0.857496730565291,baseline
9,acq_resp,-0.07705292282859423,baseline
10,acq_resp,0.5731898363846335,baseline
12,acq_resp,-0.25387498592738494,baseline
13,acq_resp,-0.02712396096346085,baseline
14,acq_resp,1.9128327903654165,baseline
15,acq_resp,-0.22606599050604476,baseline
16,acq_resp,0.7389692036338144,baseline
17,acq_resp,0.760539172872003,baseline
19,acq_resp,-0.45338389836491244,baseline
21,acq_resp,-0.2924613525949496,baseline
101,acq_resp,0.9864180920633258,baseline
102,acq_resp,0.004787262373212762,baseline
103,acq_resp,-0.23122224384115458,baseline
104,acq_resp,0.3046158475129923,baseline
105,acq_resp,-0.4379339832239257,baseline
106,acq_resp,0.3160609203332731,baseline
107,acq_resp,0.7525985377927188,baseline
108,acq_resp,0.41953922949700256,baseline
109,acq_resp,0.09041780748413861,baseline
110,acq_resp,0.4646247057948547,baseline
111,acq_resp,0.46100438195612714,baseline
112,acq_resp,0.4327794173401537,baseline
113,acq_resp,0.026337502453832835,baseline
114,acq_resp,0.6289254232054977,baseline
116,acq_resp,1.1279306942467562,baseline
117,acq_resp,0.3993572570466707,baseline
118,acq_resp,0.4903751864351798,baseline
2,ext_resp,-0.12214075752702432,baseline
3,ext_resp,0.19438910936075418,baseline
4,ext_resp,-0.49119713889738537,baseline
5,ext_resp,-0.8871414197779448,baseline
6,ext_resp,0.53418211117645,baseline
7,ext_resp,-0.46117599157529626,baseline
8,ext_resp,-0.3169004515068971,baseline
9,ext_resp,-0.008407967708433918,baseline
10,ext_resp,0.2630401498367715,baseline
12,ext_resp,-1.4077898213271243,baseline
13,ext_resp,-0.21185587406973386,baseline
14,ext_resp,-0.2880856068061846,baseline
15,ext_resp,-1.123179119942621,baseline
16,ext_resp,-0.8899123099927075,baseline
17,ext_resp,-0.1632376581800916,baseline
19,ext_resp,0.13797694301557578,baseline
21,ext_resp,0.04637541503885926,baseline
101,ext_resp,-0.4813913243005211,baseline
102,ext_resp,-0.22450665707986156,baseline
103,ext_resp,-0.3229997407542713,baseline
104,ext_resp,-1.2543795366907775,baseline
105,ext_resp,0.48259880343937955,baseline
106,ext_resp,-0.3756019017662758,baseline
107,ext_resp,-0.154182489003967,baseline
108,ext_resp,0.9282712416742268,baseline
109,ext_resp,-0.2540692494423499,baseline
110,ext_resp,-0.4819924323368578,baseline
111,ext_resp,-1.006934868702638,baseline
112,ext_resp,-0.35491034206948524,baseline
113,ext_resp,-1.07115513321278,baseline
114,ext_resp,-0.9255334765674557,baseline
116,ext_resp,0.010559607493182804,baseline
117,ext_resp,-0.39176535322894857,baseline
118,ext_resp,-0.4903906655665455,baseline
