subject,condition,encode_phase,category,source_memory,typicality,trial_number,hc_acc
2,CS+,acquisition,animals,1.7916666666666667,4.916666666666667,12.5,0.75
2,CS+,baseline,animals,2.0,4.625,12.5,0.9166666666666666
2,CS+,extinction,animals,2.125,5.375,12.5,0.9166666666666666
2,CS-,acquisition,animals,1.5833333333333333,4.666666666666667,12.5,0.375
2,CS-,baseline,animals,2.0833333333333335,4.791666666666667,12.5,0.6666666666666666
2,CS-,extinction,animals,1.9166666666666667,5.583333333333333,12.5,0.5
3,CS+,acquisition,animals,2.125,3.0833333333333335,12.5,0.25
3,CS+,baseline,animals,1.75,3.0416666666666665,12.5,0.375
3,CS+,extinction,animals,2.1666666666666665,3.2083333333333335,12.5,0.375
3,CS-,acquisition,animals,1.7916666666666667,3.7916666666666665,12.5,0.041666666666666664
3,CS-,baseline,animals,1.625,3.2083333333333335,12.5,0.3333333333333333
3,CS-,extinction,animals,1.7916666666666667,4.041666666666667,12.5,0.16666666666666666
4,CS+,acquisition,tools,1.9166666666666667,4.083333333333333,12.5,0.4166666666666667
4,CS+,baseline,tools,1.9166666666666667,4.541666666666667,12.5,0.625
4,CS+,extinction,tools,2.125,5.125,12.5,0.625
4,CS-,acquisition,tools,1.8333333333333333,4.708333333333333,12.5,0.625
4,CS-,baseline,tools,2.0,4.666666666666667,12.5,0.625
4,CS-,extinction,tools,1.875,5.25,12.5,0.3333333333333333
5,CS+,acquisition,tools,1.9583333333333333,4.833333333333333,12.5,0.9166666666666666
5,CS+,baseline,tools,2.1666666666666665,5.166666666666667,12.5,0.9583333333333334
5,CS+,extinction,tools,2.125,5.958333333333333,12.5,0.7916666666666666
5,CS-,acquisition,tools,2.4583333333333335,3.6666666666666665,12.5,0.7083333333333334
5,CS-,baseline,tools,2.2083333333333335,4.166666666666667,12.5,0.7916666666666666
5,CS-,extinction,tools,2.4583333333333335,4.0,12.5,0.8333333333333334
6,CS+,acquisition,tools,2.0416666666666665,5.375,12.5,0.7916666666666666
6,CS+,baseline,tools,1.875,4.958333333333333,12.5,0.3333333333333333
6,CS+,extinction,tools,1.875,5.541666666666667,12.5,0.5833333333333334
6,CS-,acquisition,tools,1.875,5.0,12.5,0.08333333333333333
